Name|Address|Delivery Date|Cases Available|Hours Open|Type|Lat|Lng
Monkey House|30 Main St, Winooski, VT|Wednesday|False||eatery|44.4905199|-73.1866749
Montpelier Discount Beverage|12 Main St, Montpelier, VT|Thursday|False||store|44.258835|-72.576887
Montpelier Mobil|3 Berlin St, Montpelier, VT|Thursday|False||store|44.2571739|-72.577799
Montpelier Village Pizza|89 Main St #5, Montpelier, VT|Monday|False||eatery|42.548636|-74.824636
Monty'S Tavern|7921 Williston Rd, Williston, VT|Wednesday|False||eatery|44.438766|-73.072281
Mountain Cheese & Wine|1799 Mountain Rd, Stowe, VT|Friday|False||store|44.473504|-72.711986
Mr Mike'S Pizza|206 Main St, Burlington, VT|Thursday|False||eatery|44.476183|-73.211257
Mule Bar|38 Main St, Winooski, VT|Wednesday|False||eatery|44.4906437|-73.1867255
Mutha Stuffers|Sugarbush Village, Warren, VT|Tuesday|False||store|44.1374954|-72.9067438
My Little Cupcake|217 College St, Burlington, VT|Thursday|False||eatery|44.477002|-73.2112693
Natural Provisions|329 Harvest Lane, Williston, VT|Wednesday|False||store|44.4481678|-73.1150142
Nectar'S|188 Main St, Burlington, VT|Thursday|False||eatery|44.4761318|-73.2117118
Nutty Steph'S|961 Us Rte 2, Middlesex, VT|Tuesday|False||eatery|44.301167|-72.690063
O'Grady'S|504 Mountain Rd, Stowe, VT|Friday|False||eatery|44.472282|-72.688583
Park Place Tavern|38 Park St, Essex, VT|Wednesday|False||eatery|44.487884|-73.1123398
Pascolo|83 Church St, Burlington, VT|Thursday|False||eatery|44.478004|-73.212836
Pearl St Beverage|240 Pearl St, Burlington, VT|Tuesday|False||store|44.4807599|-73.209159
Penny Cluse Cafe|169 Cherry St, Burlington, VT|Thursday|False||eatery|44.479229|-73.2113165
Phoenix|1652 Mountain Rd, Stowe, VT|Friday|False||eatery|44.473442|-72.709462
Pickwick'S|433 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4715459|-72.688576
Piecasso (Stowe)|1899 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4738601|-72.7147689
Pine St Deli|316 Flynn Ave, Burlington, VT|Thursday|False||eatery|44.455683|-73.213938
Pine Tree Pub|7508 Sugarbush Village, Warren, VT|Tuesday|False||eatery|44.1400554|-72.8923782
Pizza Barrio|197 N Winooski Ave, Burlington, VT|Thursday|False||eatery|44.4858625|-73.2105937
Pizzeria Verita|156 St Paul St, Burlington, VT|Thursday|False||eatery|44.4751889|-73.2136433
Plate|91 Main St, Stowe, VT|Friday|False||eatery|44.465569|-72.6856338
Positive Pie (Montpelier)|22 State St, Montpelier, VT|Monday|False||eatery|44.2601273|-72.5763506
Quarry Grill And Bar|210 N Main St, Barre, VT|Monday|False||eatery|44.1988859|-72.5036795
Radio Bean|8 N Winooski Ave, Burlington, VT|Thursday|False||eatery|44.480845|-73.2109671
Red Hen Bakery|961 Us Rte 2, Middlesex, VT|Monday|False||eatery|44.301167|-72.690063
Revolution Kitchen|9 Center St, Burlington, VT|Thursday|False||eatery|44.4779268|-73.2116708
Ri Ra'S Irish Pub|123 Church St, Burlington, VT|Thursday|False||eatery|44.476857|-73.212812
Richmond Beverage|56 Railroad St, Richmond, VT|Tuesday|False||store|44.4044763|-72.9951277
Richmond Mobil Mart|1436 W Main St, Richmond, VT|Tuesday|False||store|44.422421|-73.00576
Rimrocks Mountain Tavern|394 Mountain Rd, Stowe, VT|Friday|False||eatery|44.470852|-72.686562
River House At Stowe Inn|123 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4668734|-72.6889824
Rotisserie Restaurant|1355 Williston Rd, Williston, VT|Thursday|False||eatery|44.454893|-73.0559051
Route 7 Liquor|2659 Shelburne Rd, Shelburne, VT|Monday|True||store|44.4166707|-73.2126309
Ruben James|159 Main St, Burlington, VT|Thursday|False||eatery|44.4756912|-73.2128549
Sammy'S Quick Stop|264 Malletts Bay Ave, Winooski, VT|Wednesday|False||store|44.4972917|-73.1951148
Sarducci'S|3 Main St, Montpelier, VT|Monday|False||eatery|44.2577002|-72.5765937
Shelburne Meat Market|2989 Shelburne Rd, Shelburne, VT|Monday|False||store|44.412483|-73.213783
Shelburne Meat Market|40 Tafts Corner, Williston, VT|Wednesday|False||store|44.451031|-73.109133
Shelburne Rd Variety|1855 Shelburne Rd, Shelburne, VT|Monday|False||store|44.421317|-73.212672
Sherpa Kitchen|119 College St, Burlington, VT|Thursday|False||eatery|44.476826|-73.215083
Simons Shelburne Rd|974 Shelburne Rd, Shelburne, VT|Monday|False||store|44.442106|-73.209174
Skinny Pancake (Airport)|Burlington International Airport, Burlington, VT|Thursday|False||eatery|44.4706939|-73.1516037
Skinny Pancake (Burlington)|60 Lake St, Burlington, VT|Thursday|False||eatery|44.4777072|-73.2197283
Skinny Pancake (Montpelier)|89 Main St, Montpelier, VT|Monday|False||eatery|44.260344|-72.574545
Stagecoach Inn|18 N Main St, Waterbury, VT|Wednesday|False||eatery|44.338709|-72.757789
Stowe Beverage|1880 Mountain Rd, Stowe, VT|Friday|False||store|44.474682|-72.714417
Stowe Cinema|454 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4713796|-72.6870556
Stowe Quick Mart|745 Main St, Stowe, VT|Friday|False||store|44.456371|-72.694229
Stowe Seafood|504 Mountain Rd, Stowe, VT|Friday|False||store|44.472282|-72.688583
Stoweflake|1746 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4741928|-72.7118583
Stowehof|434 Edson Hill, Stowe, VT|Friday|False||eatery|44.494583|-72.72583
Sunflower Natural Foods|2934 Waterbury-Stowe Rd, Waterbury, VT|Friday|False||store|44.4257915|-72.7192354
Sunset Grill|140 Cottage Club Rd, Stowe, VT|Friday|False||eatery|44.477112|-72.715645
Sushi Yoshi|1128 Mountain Rd, Stowe, VT|Friday|False||eatery|44.475055|-72.7010279
Sweet Clover Market|21 Essex Way, Essex, VT|Wednesday|False||store|44.5075489|-73.0813375
Sweetwaters|120 Church St, Burlington, VT|Thursday|False||eatery|44.4769177|-73.2123078
Tanglewoods Restaurant|179 Guptil Rd, Waterbury, VT|Wednesday|False||eatery|44.355286|-72.73214
The Elusive Moose|6163 Main St, Waitsfield, VT|Tuesday|False||eatery|44.172085|-72.832031
The Essex|70 Essex Way, Essex, VT|Wednesday|False||eatery|44.501606|-73.078514
The Farmhouse Tap And Grill|160 Bank St, Burlington, VT|Thursday|False||eatery|44.478403|-73.213305
The Inn At The Round Barn|1661 E Warren Rd, Warren, VT|Tuesday|False||store|44.1677428|-72.8114782
The Mounted Cat|60 Battery St, Burlington, VT|Thursday|False||eatery|44.4780812|-73.2180108
The Other Place|4 N Winooski Ave, Burlington, VT|Thursday|False||eatery|44.480712|-73.211212
The Pizza Joint|383 Moscow Rd, Stowe, Vt, VT|Friday|False||store|44.440289|-72.7149486
The Prohibition Pig|23 S Main St, Waterbury, VT|Wednesday|False||eatery|44.3371394|-72.7560944
The Reservoir|1 S Main St, Waterbury, VT|Wednesday|False||eatery|44.3376411|-72.7566653
The Scuffer|148 Church St, Burlington, VT|Thursday|False||eatery|44.476324|-73.212295
The Shopping Bag|166 North St, Burlington, VT|Thursday|False||store|44.4848522|-73.2154168
The Vt Tap House|70 Marshall Ave, Williston, VT|Wednesday|False||eatery|44.444714|-73.11274
Three Penny Taproom|108 Main St, Montpelier, VT|Monday|False||eatery|44.2606817|-72.5750933
Tomlinson'S|81 Bridge St, Morrisville, VT|Friday|False||store|44.5632152|-72.6000143
Topnotch Resort|4000 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4935861|-72.7394156
Trattoria Delia|152 St Paul St, Burlington, VT|Thursday|False||eatery|44.4754917|-73.2136806
Uncommon Market|1 School St, Montpelier, VT|Monday|False||store|44.2614336|-72.5754126
Usave Beverage And Deli|1332 Williston Rd, Burlington, VT|Thursday|False||eatery|44.4668226|-73.1707256
Village Mobil|8252 Shelburne Rd, Shelburne, VT|Monday|False||store|44.3536111|-73.2386324
Vt Ale House|294 Mountain Rd, Stowe, VT|Friday|False||eatery|44.4695005|-72.6874357
Vt Meat & Seafood|104 Cornerstone Dr, Williston, VT|Wednesday|False||store|44.446915|-73.103747
Waitsfield Village Grocery|4348 Main St, Waitsfield, VT|Tuesday|True||store|44.190785|-72.8241506
Waitsfield Wine Shop|4330 Main St, Waitsfield, VT|Tuesday|False||store|44.190861|-72.8237989
Warren Store|284 Main St, Warren, VT|Tuesday|False||store|44.114498|-72.856074
Waterbury Village Market|80 S Main St, Waterbury, VT|Wednesday|False||store|44.3351355|-72.7533854
White Horse Inn|99 German Flats Rd, Waitsfield, VT|Tuesday|False||eatery|44.1849256|-72.8735815
Windjammer|1076 Williston Rd, Burlington, VT|Thursday|False||eatery|44.4694951|-73.1788347
Winooski Beverage|1 East St, Winooski, VT|Tuesday Thursday|True||store|44.492283|-73.181831
Yankee Wine & Spirits|126 Main St, Montpelier, VT|Monday|False||store|44.261034|-72.5749079
